KM;Restrição
"4,2";PN
7;BUEIRO - RISCO DE BUEIRO ABERTO
8;TUNEL
9;TUNEL
10;VIADULTO - NÃO DEVE FAZER REVISTA DEVIDO AO RISCO DE QUEDA
11;TUNEL
12;VIADULTO - NÃO DEVE FAZER REVISTA DEVIDO AO RISCO DE QUEDA
13;TUNEL
17;TUNEL
19;SEMAFORO
20;SEMAFORO
28;PASSAGEM INFERIOR
30;TUNEL
33;PONTE - NÃO DEVE FAZER REVISTA DEVIDO AO RISCO DE QUEDA
37;CORTE
39;PN
61;CORTE
70;SEMAFORO
72;SEMAFORO
94;PONTE - NÃO DEVE FAZER REVISTA DEVIDO AO RISCO DE QUEDA
98;SEMAFORO
99;SEMAFORO
119;SEMAFORO
120;ZONA QUENTE
121;ZONA QUENTE
